id	title	description	price	condition	link	image_link	availability	brand	mpn	adult 	product_weight	shipping_weight
1001001303	Reduzierring 30x20x1mm 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen 	4.4999969 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-30x20x1mm 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001303 	no	0.0050 kg	0.0050 kg
1001001306	Reduzierring 32x 30 x1mm gerändelt 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen 	4.4999969 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-32x-30-x1mm-geraendelt 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001306 	no	0.0050 kg	0.0050 kg
1001001897	Schneidöl 1l 	Hochausraffiniertes, dünnflüssiges Mineralölprodukt, frei von Aromaten, geruchsneutral und wasserhell. Konzipiert für das Bohren, Schneiden, Schleifen und Läppen von Edelsteinen und Glas. Gute Hautverträglichkeit, hervorragende Kühleigenschaften, ausgezeichnetes Spülvermögen, gutes Absetzverhalten sowie der hohe Flammpunkt bieten dem Anwender viele Vorteile 	19.9000011 EUR	new	https://shop.aquarus.net/de/saegen/schneidoel/schneidoel-1l 	https://shop.aquarus.net/media/images/org/A1_placeholder.jpg 	in_stock	Aquarus	1001001897 	no	0.0000 kg	0.0000 kg
1001001713	Schneidöl 5l 	Hochausraffiniertes, dünnflüssiges Mineralölprodukt, frei von Aromaten, geruchsneutral und wasserhell. Konzipiert für das Bohren, Schneiden, Schleifen und Läppen von Edelsteinen und Glas. Gute Hautverträglichkeit, hervorragende Kühleigenschaften, ausgezeichnetes Spülvermögen, gutes Absetzverhalten sowie der hohe Flammpunkt bieten dem Anwender viele Vorteile 	63.0000042 EUR	new	https://shop.aquarus.net/de/saegen/schneidoel/schneidoel-5l 	https://shop.aquarus.net/media/images/org/A1_placeholder.jpg 	in_stock	Aquarus	1001001713 	no	5.8000 kg	5.8000 kg
1001001305	Reduzierring 30x 5/8" x1mm gerändelt 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen 	4.4999969 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-30x-5-8-x1mm-geraendelt 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001305 	no	0.0050 kg	0.0050 kg
1001001307	Reduzierring 30x 16 x1mm gerändelt 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen 	4.4999969 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-30x-16-x1mm-geraendelt 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001307 	no	0.0050 kg	0.0050 kg
1001001929	Reduzierring 32x25,4x1mm gerändelt 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen 	4.4999969 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-32x25-4x1mm-geraendelt 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001929 	no	0.0050 kg	0.0050 kg
1001003880	Hi-Tech All-U-Need 8" Flat lap machine 	Kleine feine Flachschleifmaschine aus den USA. Perfekt zum Schleifen von Cabochon, Flächen und Freiformen. Mit dem Starter Set ist alles gleich dabei, das zum Schleifen und Polieren benötigt wird.Flachschleifmachine mit 8' (20cm ) Trägeraufnahme,240V, 800-3400rpm, Galvanische Scheibe Korn 180, Aufnahmeteller mit diamantgebundene Kunststoffscheibe Korn 325,600,1200 Diamantpolierpaste 14.000 	898.9999942 EUR	new	https://shop.aquarus.net/de/schleifmaschinen/flachschleifmaschine/hi-tech-all-u-need-8-flat-lap-machine 	https://shop.aquarus.net/media/images/org/1001003880.jpg 	in_stock	Aquarus	1001003880 	no	8.0000 kg	8.0000 kg
1001003527	AQUA FTR30 Planschleifmaschine 	Leistungsstarke Profi-Planschleifmaschine mit regelbarer Geschwindigkeit, Robuste Planschleifmaschine zum Schleifen von Cabochon, Flächen und Freiformen, Die galvanischen Scheiben können direkt auf den Aufnahmeteller geklebt werden und es wird mit einer Magnetscheibe gearbeitet, die ein einfaches und schnelles Wechseln ermöglicht. DieWasserzuführung erfolgt über einen Kunststoffbehälter ca.1,5l mit Dosierregelung. Je nach Arbeitsgang kann die Maschine in einer Drehzahl von 300-800/min eingestellt werden.  Die Lieferung erfolgt ohne Planscheiben oder Polierfilze,bitte wählen Sie diese nach Ihrem Bedarf aus.Lieferumgang: Planschleifmaschine 220V 50 Hz mit Aufnahmeteller, Halterumg mit WasserbehälterGewicht: ca. 52kg, Lieferung nur per Spedition 	2199.0000004 EUR	new	https://shop.aquarus.net/de/schleifmaschinen/flachschleifmaschine/aqua-ftr30-planschleifmaschine 	https://shop.aquarus.net/media/images/org/1001003527.jpg 	in_stock	Aquarus	1001003527 	no	52.0000 kg	52.0000 kg
1001001931	Reduzierring 32x19x1mm gerändelt 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen 	4.4999969 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-32x19x1mm-geraendelt 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001931 	no	0.0050 kg	0.0050 kg
